nombre_original;nombre_amigable;TAG MANTTO;TIPO;Material;TAMAÑOS;ANSI;OBSERVACIONES;TécniFicha;Imagen
Solid1_143;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero,Carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid3_34;"FLANCHE SO 4""";;Accesorios soldados;Génerico;;;;;
Solid2_348;"ESPARRÁGO BRIDA 4""";;Tornillería;Génerico;;;;;Activos/Imágenes/Esparrágo/ESP01.png
Solid2_17;"VÁLVULA DE BOLA 2 CUERPOS 4""";VAL-101;Bola;WCB/XCC;de 2 a 12 in;150-300-600;Conexiones: FLG-RF x FLG-RF / Modelo: Side Entry;Activos/Documentos_Técnicos/Válvulas/TF-104.pdf;Activos/Imagenes/Valvulas/Valvulabola.png
Solid3_35;"FLANCHE SO 4""";;Accesorios soldados;Génerico;;;;;
Solid2_340;"ESPARRÁGO BRIDA 4""";;Tornillería;Génerico;;;;;Activos/Imagenes/Esparrágo/ESP01.png
Solid7_6;"TEE RECTA 4""";;Accesorios soldados;Acero,Carbono;;;;;
Solid3_350;"BRIDA WN 4""";;Accesorios soldados;Acero,Carbono;;;;;
Solid2_321;"ESPARRÁGO BRIDA 4""";;Tornillería;Génerico;;;;;Activos/Imagenes/Esparrágo/ESP01.png
Solid2_24;"VÁLVULA DE BOLA 2 CUERPOS 4""";VAL-101;Bola;WCB/XCC;de 2 a 12 in;150-300-600;Conexiones: FLG-RF x FLG-RF / Modelo: Side Entry;Activos/Documentos_Técnicos/Válvulas/TF-104.pdf;Activos/Imagenes/Valvulas/Valvulabola.png
Solid3_338;"BRIDA WN 4""";;Accesorios soldados;Acero,Carbono;;;;;
Solid1_491;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero,Carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid1_5;"CODO 4""-90°";;Accesorios soldados;Acero,Carbono;;;;;Activos/Imagenes/Codos/CODO-02.png
Solid1_152;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero,Carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid1_149;"TUBERÍA 4""";;"Tubería de acero al carbono sin
costuras o con costura longitudinal";Acero,Carbono;De 2 a 49 in;;Normas de fabricación: API 5L / Modelos: R10 – R25 – R50 – FC /Grados: GRB, X42, X52, X60, X65;Activos/Documentos_Técnicos/Tuberías/TF-110.pdf;Activos/Imagenes/Tuberias/TUB1.png
Solid3_331;"BRIDA WN 4""";;Accesorios soldados;Acero,Carbono;;;;;
Solid2_23;"VÁLVULA DE BOLA 2 CUERPOS 4""";VAL-101;Bola;WCB/XCC;de 2 a 12 in;150-300-600;Conexiones: FLG-RF x FLG-RF / Modelo: Side Entry;Activos/Documentos_Técnicos/Válvulas/TF-104.pdf;Activos/Imagenes/Valvulas/Valvulabola.png
484D215-1-solid1;MANÓMETRO 0-1200 psig;;Manómetro bourdon;316;de 4 a1/2 in;;Grado: ASME 2A / Escala: dual Psig/Bar / Conexión: 1/2 in MNPT;Activos/Documentos_Técnicos/Indicador presión/TF-106.pdf;Activos/Imagenes/Manómetros/PI01.png
EXPY45DialEtch-1-solid1_5;MANÓMETRO 0-1200 psig;;Manómetro bourdon;316;de 4 a1/2 in;;Grado: ASME 2A / Escala: dual Psig/Bar / Conexión: 1/2 in MNPT;Activos/Documentos_Técnicos/Indicador presión/TF-106.pdf;Activos/Imagenes/Manómetros/PI01.png
302C209-1-solid1;MANÓMETRO 0-1200 psig;;Manómetro bourdon;316;de 4 a1/2 in;;Grado: ASME 2A / Escala: dual Psig/Bar / Conexión: 1/2 in MNPT;Activos/Documentos_Técnicos/Indicador presión/TF-106.pdf;Activos/Imagenes/Manómetros/PI01.png
