nombre_original;nombre_amigable;Categoria;Cantidad;Unidad;Material;SCH / Espesor;Rating;Mantenimiento;Observaciones;Ficha técnica;Manual;Imagen
Solid1_143;"TUBO 4""";Tubería;;;Acero,Carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid3_34;"FLANCHE SO 4""";Accesorios soldados;;;Génerico;;;;ASTM-A-105-GR-II;;;
Solid2_348;"ESPARRÁGO BRIDA 4""";Tornillería;;;Génerico;;;;"ASTM A193 GR.B7-CC/7-2H ,  ESPARRAGO 3/4"" x 5.25 in Long";;;Activos\Imagenes\Esparrágo\ESP01.png
Solid2_17;"VÁLVULA DE BOLA 2 CUERPOS 4""";Equipos;;;Génerico;;;; RF - ANSI 300;;;Activos/Imagenes/Valvulas/Valvulabola.png
Solid3_35;"FLANCHE SO 4""";Accesorios soldados;;;Génerico;;;;ASTM-A-105-GR-II;;;
Solid2_340;"ESPARRÁGO BRIDA 4""";Tornillería;;;Génerico;;;;"ASTM A193 GR.B7-CC/7-2H ,  ESPARRAGO 3/4"" x 5.25 in Long";;;Activos\Imagenes\Esparrágo\ESP01.png
Solid7_6;"TEE RECTA 4""";Accesorios soldados;;;Acero,Carbono;;;;SCH STD ASTM 234;;;
Solid3_350;"BRIDA WN 4""";Accesorios soldados;;;Acero,Carbono;;;;" ASTM-A-694-F-81 , BRIDA WN SCH STD ANSI 300 x 4""";;;
Solid2_321;"ESPARRÁGO BRIDA 4""";Tornillería;;;Génerico;;;;ASTM A193 GR.B7-CC/7-2H;;;Activos\Imagenes\Esparrágo\ESP01.png
Solid2_24;"VÁLVULA DE BOLA 2 CUERPOS 4""";Equipos;;;Génerico;;;; RF - ANSI 300;;;Activos/Imagenes/Valvulas/Valvulabola.png
Solid3_338;"BRIDA WN 4""";Accesorios soldados;;;Acero,Carbono;;;;"ASTM-A-694-F-81, BRIDA WN SCH STD ANSI 300 x 4""";;;
Solid1_491;"TUBO 4""";Tubería;;;Acero,Carbono;;;; SCH. STD. API 5L Gr. B;;;
Solid1_5;"CODO 4""-90°";Accesorios soldados;;;Acero,Carbono;;;; RL. SCH. STD. ASTM A860 WPHY 52;;;Activos\Imagenes\Codos\CODO-02.png
Solid1_152;"TUBO 4""";Tubería;;;Acero,Carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid1_149;"TUBO 4""";Tubería;;;Acero,Carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid3_331;"BRIDA WN 4""";Accesorios soldados;;;Acero,Carbono;;;;"ASTM-A-694-F-81, BRIDA WN SCH STD ANSI 300 x 4""";;;
Solid2_23;"VÁLVULA DE BOLA 2 CUERPOS 4""";Equipos;;;Génerico;;;;RF - ANSI 300;;;Activos/Imagenes/Valvulas/Valvulabola.png
484D215-1-solid1;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;Activos\Imagenes\Manómetros\PI01.png
EXPY45DialEtch-1-solid1_5;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;Activos\Imagenes\Manómetros\PI01.png
302C209-1-solid1;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;Activos\Imagenes\Manómetros\PI01.png
Solid1_660;"VÁLVULA DE AGUJA 1/2""";Accesorios soldados;;;Génerico;;;; #3000 CON DRENAJE SS 316;;;
Solid1_643;"NIPLE ROSCADO 1/2""-2""";Accesorios roscados;;;Génerico;;;;" MNPT API 5L Gr.B , NIPLE 1/2"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
Solid1_154;"TUBO 4""";Tubería;;;Acero,Carbono;;;; SCH. STD. API 5L Gr. B;;;
Solid1_4;"CODO 4""-90°";Accesorios soldados;;;Acero,Carbono;;;;RL. SCH. STD. ASTM A860 WPHY 52;;;Activos\Imagenes\Codos\CODO-02.png
Solid1_148;"TUBO 4""";Tubería;;;Acero,Carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid1_645;"HALF COUPLING 3/4""";Accesorios roscados;;;Génerico;;;;FNNP #3000 ASTM A105 Gr.II ASME B16.12;;;Activos\Imagenes\Half coupling\Half01.png
Solid2_7;"NIPLE ROSCADO 3/4""-2""";Accesorios roscados;;;Génerico;;;;" MNPT API 5L Gr.B,  NIPLE 3/4"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
����������6_14;"VÁLVULA DE BOLA 3/4""";Equipos;;;Génerico;;;;#3000, FNPT- FNPT, ASTM A105;;;
�����3_9;"VÁLVULA DE BOLA 3/4""";Equipos;;;Génerico;;;;#3000, FNPT- FNPT, ASTM A106;;;
Solid1_123;"TAPÓN 1/2"" ";Tornillería;;;Acero, forjado;;;;Cabeza hexagonal, #3000 NPT ASTM A105, SEGÚN ASME B16.11;;;Activos\Imagenes\Esparrágo\TAPON01.png
Solid7_5;"TEE RECTA 4""";Accesorios soldados;;;Acero,Carbono;;;;SCH STD ASTM 234;;;
Solid3_331;"BRIDA WN 4""";Accesorios soldados;;;Acero,Carbono;;;;"ASTM-A-694-F-81, BRIDA WN SCH STD ANSI 300 x 4""";;;
Solid2_22;"VÁLVULA DE BOLA 2 CUERPOS 4"" ";Equipos;;;Génerico;;;;RF - ANSI 300;;;Activos/Imagenes/Valvulas/Valvulabola.png
Solid1_464;"TUBO 4""";Tubería;;;Acero,Carbono;;;; SCH. STD. API 5L Gr. B;;;
Sólido1_13;"BASE FILTRO 10 """;Equipos;;;Génerico;;;;;;;Activos\Imagenes\Filtros\FLT01.png
Solid1_467;"TUBO ROSCADO 2""";Tubería;;;Acero,Carbono;;;;;;;
Solid1_468;"CODO 2""";Accesorios soldados;;;Acero;;;;#3000, DIMENSIONES SEGÚN ASME B16.11;;;Activos\Imagenes\Codos\CODO-02.png
Solid1_469;"TUBO 2""";Tubería;;;Acero,Carbono;;;;2 MNPT, API 5L Gr. B, Sch. Std;;;
Srf1_3;VÁLVULA DE COMPUERTA 2;;;;Génerico;;;;;;;
Solid1_470;"TUBO 2""";Tubería;;;Acero,Carbono;;;;2 MNPT, API 5L Gr. B, Sch. Std;;;
Solid1_471;"UNIÓN UNIVERSAL 2""";Accesorios roscados;;;Acero inoxidable;;;;FTH 3000# FS NPT, ASTM A-105, DIMENSIONES SEGÚN ASME;;;
Solid1_472;"TUBO 2""";Tubería;;;Acero,Carbono;;;;1 MNPT, API 5L Gr. B, Sch. Std;;;
Solid1_473;"CODO 2""-90°";Accesorios soldados;;;Acero,Carbono;;;;RL. SCH. STD. ASTM A860 WPHY 52;;;Activos\Imagenes\Codos\CODO-02.png
Solid1_474;"TUBERÍA 2""";Tubería;;;Acero,Carbono;;;;;;;
Solid1_445;"CAP 10""";Accesorios soldados;;;Génerico;;;;;;;
Solid1_446;"TUBO 10""";Tubería;;;Acero,Carbono;;;; SCH. STD. API 5L Gr. B;;;
Solid3_353;"BRIDA WN 10""";Accesorios soldados;;;Acero,Carbono;;;;"ASTM-A-694-F-105, BRIDA WN SCH STD ANSI 600 x 10""";;;
Solid3_301;"BRIDA CIEGA 10""";Accesorios soldados;;;Génerico;;;;"ASTM-A-105-GR-II , BRIDA CIEGA ANSI 600 x 10""";;;
Solid3_369;"ESPARRÁGO BRIDA 10""";Tornillería;;;Génerico;;;; ASTM A193 GR.B7-CC/7-2H;;;Activos\Imagenes\Esparrágo\ESP01.png
Solid2_350;"ESPARRÁGO BRIDA 10""";Tornillería;;;Génerico;;;; ASTM A193 GR.B7-CC/7-2H;;;Activos\Imagenes\Esparrágo\ESP01.png
Solid1_465;"TUBO 4""";Tubería;;;Acero,Carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid1_490;"TUBO 4""";Tubería;;;Acero,Carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid3_324;"BRIDA CIEGA 8""";Accesorios soldados;;;Génerico;;;;"ASTM-A-105-GR-II , BRIDA CIEGA ANSI 600 x 8""";;;
Solid3_355;"BRIDA WN 8""";Accesorios soldados;;;Acero,Carbono;;;;"ASTM-A-694-F-104,  BRIDA WN SCH STD ANSI 600 x 8""";;;
